Application Name,Owning Group,BMC Remedy Queue,New Structure Remedy Queue
,,,
1 Business Post Office v3.16,SAP,GCC SAP,CORP SAP
2100 Bioanalyser,GenApps,GCC General Apps,GCC Line of Business
3D Analyst,GenApps,GCC General Apps,GCC Line of Business
3D Max v8,GenApps,GCC General Apps,GCC Line of Business
3Sixty,Parking,GCC Parking,GCC Line of Business
3sixty Citizen,Parking,GCC Parking,GCC Line of Business
4th Floor Flexi System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
7 Zip File Manager,Desktop,GCC Desktop Model Office,DLM Scotland
ABBY FineReader,Desktop,GCC Desktop Model Office,DLM Scotland
Academy Desktop,Finance,GCC Fin & Citizen,GCC Citizen Centric
Academy Launcher v6.0,Finance,GCC Fin & Citizen,GCC Citizen Centric
Academy NDR,Finance,GCC Fin & Citizen,GCC Citizen Centric
Academy QA Module,Finance,GCC Fin & Citizen,GCC Citizen Centric
Access Runtime v2010,Desktop,GCC Desktop Model Office,DLM Scotland
Access v2010,Desktop,GCC Desktop Model Office,DLM Scotland
Accounts Payable Workbench,SAP,GCC SAP,CORP SAP
ACL v7.12,Finance,GCC Fin & Citizen,GCC Citizen Centric
Acrobat Professional v11,Desktop,GCC Desktop Model Office,DLM Scotland
Actuate,Social Care,GCC Social Care,GCC Citizen Centric
Actuate e.report designer professional,Social Care,GCC Social Care,GCC Citizen Centric
AD Info,Desktop,GCC Desktop Model Office,DLM Scotland
ADAPT v1.3,SAP,GCC SAP,CORP SAP
Address Gazateer,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
ADMS-Urban,GenApps,GCC General Apps,GCC Line of Business
"Adobe Acrobat CC Suite (Cloud version, including InDesign, Bridge, Photoshop, Illiustrator)",Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Adobe Bridge,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Extension Mgr,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Fireworks,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe illustrator,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe InDesign,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Photoshop,Desktop,GCC Desktop Model Office,DLM Scotland
Adobe Pro,Desktop,GCC Desktop Model Office,DLM Scotland
Advantage Database Server,GenApps,GCC General Apps,GCC Line of Business
Advice Pro,Desktop,GCC Desktop Model Office,DLM Scotland
AdviserNet,GenApps,GCC General Apps,GCC Line of Business
AIMS.net v1.4.3799,GenApps,GCC General Apps,GCC Line of Business
AIRE for Paramics,GenApps,GCC General Apps,GCC Line of Business
AirQ for Windows v1.12,GenApps,GCC General Apps,GCC Line of Business
AIX v4.3,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Alarm Master Premium v3.04,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Alba,GenApps,GCC General Apps,GCC Line of Business
Alpha Anywhere Developer,Finance,GCC Fin & Citizen,GCC Citizen Centric
Alpha AnyWhere Runtime,Finance,GCC Fin & Citizen,GCC Citizen Centric
Altair,Finance,GCC Fin & Citizen,GCC Citizen Centric
Altair Management Toolkit,Finance,GCC Fin & Citizen,GCC Citizen Centric
Altair Scanning,Finance,GCC Fin & Citizen,GCC Citizen Centric
AMDIS v2,GenApps,GCC General Apps,GCC Line of Business
Analytical Information Systems LIMS v6.86,GenApps,GCC General Apps,GCC Line of Business
Andover Continuum,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Apache Directory Studio,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Apilab Plus v3.3,GenApps,GCC General Apps,GCC Line of Business
AQC204 v2.04.32,Desktop,GCC Desktop Model Office,DLM Scotland
AquaKem Software v6.5.1,GenApps,GCC General Apps,GCC Line of Business
ARC Connect Operator 5.1.3.1088,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
ARC Connect Wallboard,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
ARC Supervisor Connect,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Arcady v6.2,GenApps,GCC General Apps,GCC Line of Business
ArcCatalogue A,GenApps,GCC General Apps,GCC Line of Business
ArcGIS,GenApps,GCC General Apps,GCC Line of Business
ArcGIS Desktop EDITOR v10.2.3,GenApps,GCC General Apps,GCC Line of Business
ArchieM,GenApps,GCC General Apps,GCC Line of Business
ArcSDE (Caps_sde) v9.2,GenApps,GCC General Apps,GCC Line of Business
Arena,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Arena Schools,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Artifax - Community Lettings,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Artifax - Cultural Venues,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Artisan v2014,GenApps,GCC General Apps,GCC Line of Business
Arts & Museums Visitors,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
ASH/Aspien Debt Recovery Solution v4.0.1.55,Finance,GCC Fin & Citizen,GCC Citizen Centric
ASP Sports Access Barriers,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Assessors Core,Finance,GCC Fin & Citizen,GCC Citizen Centric
Astec,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
AsureAdmin,GenApps,GCC General Apps,GCC Line of Business
Attendance Analysis,iWeb,GCC iWeb,GCC Digital Dev Team
AutoCAD Civil 3D,GenApps,GCC General Apps,GCC Line of Business
Autodesk 3D MAX 2014,GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad DWG TrueView 2013,GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad LT v2014 - 64 Bit,GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad Map 3d (64bit),GenApps,GCC General Apps,GCC Line of Business
Autodesk Autocad v2014 - 64 Bit,GenApps,GCC General Apps,GCC Line of Business
Autodesk Building Design Suite Premium (BDSP),Desktop,GCC Desktop Model Office,DLM Scotland
Autodesk Design Review v2013,GenApps,GCC General Apps,GCC Line of Business
Autodesk Infrastructure Design Suite Premium,GenApps,GCC General Apps,GCC Line of Business
Autodesk Infrastructure Design suite Standard,GenApps,GCC General Apps,GCC Line of Business
Autodesk NavisWorks,Desktop,GCC Desktop Model Office,DLM Scotland
Autodesk RealDWG,GenApps,GCC General Apps,GCC Line of Business
Autodesk ReCap,Desktop,GCC Desktop Model Office,DLM Scotland
Autodesk Revit Structure,GenApps,GCC General Apps,GCC Line of Business
Autodesk Structural Bridge Design,GenApps,GCC General Apps,GCC Line of Business
Autodesk Vehicle Tracking( ex Autotrack v9),GenApps,GCC General Apps,GCC Line of Business
AXIS,Desktop,GCC Desktop Model Office,DLM Scotland
B2B Gateway,SAP,GCC SAP,CORP SAP
Backup Exec for Windows Servers v10,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
BACSactive-IP v2.0.26,Finance,GCC Fin & Citizen,GCC Citizen Centric
BACSactive-IP v2.0.26 Client Support,Finance,GCC Fin & Citizen,GCC Citizen Centric
Bacway Professional,Desktop,GCC Desktop Model Office,DLM Scotland
Barcode reader,Desktop,GCC Desktop Model Office,DLM Scotland
BaseCamp,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
BC HMO3,GenApps,GCC General Apps,GCC Line of Business
BECS,Finance,GCC Fin & Citizen,GCC Citizen Centric
Bentley MXRoad V8i Select Series 3,GenApps,GCC General Apps,GCC Line of Business
BG-Base v6.4,GenApps,GCC General Apps,GCC Line of Business
Bibliotheca,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Blaze Software,GenApps,GCC General Apps,GCC Line of Business
Boldon James Classifier,DocMan,GCC Document Management,CORP EDRMS
Boldon James Outlook Classifier,DocMan,GCC Document Management,CORP EDRMS
Bonjour,Desktop,GCC Desktop Model Office,DLM Scotland
Box Office,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
BPH data load to Open Galaxy,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Brief Your Market (MRM Integration),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Bulk Uplift Mobile App,iWeb,GCC iWeb,GCC Digital Dev Team
Business Objects V4,Data Analytics,GCC SAP BIA,CORP Data Analytics Team
C4 Complaints System,iWeb,GCC iWeb,GCC Digital Dev Team
CA Traffic,GenApps,GCC General Apps,GCC Line of Business
Calculon,Social Care,GCC Social Care,GCC Citizen Centric
CALM,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
CALM View,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Canon MP Navigator Ex 1.0,Desktop,GCC Desktop Model Office,DLM Scotland
Car Park Barriers (Sports),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Carbon Monoxide Recording Software,Desktop,GCC Desktop Model Office,DLM Scotland
Care Data Warehouse Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Care Invoicing,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
CareFirst v6.11,Social Care,GCC Social Care,GCC Citizen Centric
CareKnowledge,Social Care,GCC Social Care,GCC Citizen Centric
Caremobile,Social Care,GCC Social Care,GCC Citizen Centric
Caresafe cubes,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
careSafe Desktop,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
careSafe Mobile,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
CareTracker v1.29,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Cascade,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Cash Receipting System v2.0.37,Finance,GCC Fin & Citizen,GCC Citizen Centric
CCX Editor,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
CEP,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Certificates Online,iWeb,GCC iWeb,GCC Digital Dev Team
Change Routing,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Children and Families,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Chromeleon (Liquid/GAS) v6.8,GenApps,GCC General Apps,GCC Line of Business
CHS,Social Care,GCC Social Care,GCC Citizen Centric
Cisco Agent Desktop,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco AnyConnect,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco AppAdmin,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Call Manager (CUCM),Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Call Manager Real Time Monitoring Tool,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Desktop Administrator,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco IP Communicator,Desktop,GCC Desktop Model Office,DLM Scotland
Cisco Supervisor Desktop,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
CISCO UCCX V7.5,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Cisco Unity Connection,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Citizen Account -IDP,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Citrix Xenapps (used for CASCADE),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
ClearView,Desktop,GCC Desktop Model Office,DLM Scotland
Cognisoft - IO,Desktop,GCC Desktop Model Office,DLM Scotland
COINS (Committee Information Mgt),iWeb,GCC iWeb,GCC Digital Dev Team
Collections Navigator,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Colony Allotment 3.03.2,GenApps,GCC General Apps,GCC Line of Business
Colour Track,Desktop,GCC Desktop Model Office,DLM Scotland
Commend,Parking,GCC Parking,GCC Line of Business
Common Housing Register,Social Care,GCC Social Care,GCC Citizen Centric
Commsware,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Community Facilities Usage & Lets,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Community Safety Glasgow,iWeb,GCC iWeb,GCC Digital Dev Team
CommVault,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Compass,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Connect Intranet,iWeb,GCC iWeb,GCC Digital Dev Team
Consumer Direct 7.4,GenApps,GCC General Apps,GCC Line of Business
Contract Management Solution,SAP,GCC SAP,CORP SAP
Control ES v7.02,GenApps,GCC General Apps,GCC Line of Business
Conventions Intranet,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Convert SAP Data to Braille,Desktop,GCC Desktop Model Office,DLM Scotland
Cordia TASS,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Corel Draw,Desktop,GCC Desktop Model Office,DLM Scotland
Corporate Address Gazetteer (Uniform),GenApps,GCC General Apps,GCC Line of Business
CORPSES,iWeb,GCC iWeb,GCC Digital Dev Team
Costing / Labour Allocation,GenApps,GCC General Apps,GCC Line of Business
Creative Suite v6,Desktop,GCC Desktop Model Office,DLM Scotland
CreditCall,GenApps,GCC General Apps,GCC Line of Business
Crowcon,GenApps,GCC General Apps,GCC Line of Business
Crystal Reports,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Crystal Reports V9 Components for Hevacomp A,Desktop,GCC Desktop Model Office,DLM Scotland
Crystal Reports V9 Components for Hevacomp B,Desktop,GCC Desktop Model Office,DLM Scotland
Crystal Reports Viewer,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
CSC Orion,Desktop,GCC Desktop Model Office,DLM Scotland
CT710 Driver,Desktop,GCC Desktop Model Office,DLM Scotland
Cube,Desktop,GCC Desktop Model Office,DLM Scotland
Customer Comments (2004 - 2006),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Customer Comments (2007 - 2010),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Cyberlink,Desktop,GCC Desktop Model Office,DLM Scotland
Cygnum,GenApps,GCC General Apps,GCC Line of Business
Cygwin DLL,Desktop,GCC Desktop Model Office,DLM Scotland
Cymap,Desktop,GCC Desktop Model Office,DLM Scotland
DAM,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Data Center Security Server (DCSS),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Data Exchange,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Data Manager (Experian),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
DataEase v4.53,GenApps,GCC General Apps,GCC Line of Business
DataTrack Supervisor v8.4.7.7,GenApps,GCC General Apps,GCC Line of Business
DCN Voting System,iWeb,GCC iWeb,GCC Digital Dev Team
Deep Freeze Administrator - Enterprise 10,Desktop,GCC Desktop Model Office,DLM Scotland
DEMS360,Parking,GCC Parking,GCC Line of Business
Desigo Insight,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Development Control Practice,GenApps,GCC General Apps,GCC Line of Business
DGN Viewer,Desktop,GCC Desktop Model Office,DLM Scotland
DIALux,GenApps,GCC General Apps,GCC Line of Business
Dietary System,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Digital Sprite Lite Viewer,Desktop,GCC Desktop Model Office,DLM Scotland
Document Management (Docs),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Dragon,Desktop,GCC Desktop Model Office,DLM Scotland
Dragon Naturally Speaking Professional v11,Desktop,GCC Desktop Model Office,DLM Scotland
Draw X6,Desktop,GCC Desktop Model Office,DLM Scotland
Duty Dashboard,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
EasyLog,Desktop,GCC Desktop Model Office,DLM Scotland
Easytac,Desktop,GCC Desktop Model Office,DLM Scotland
ECC v6.0,SAP,GCC SAP,CORP SAP
eCitizen (Capita Connect),Finance,GCC Fin & Citizen,GCC Citizen Centric
EDIX CCT Camera-Scottish Communications (MyWitness),Parking,GCC Parking,Retired - (see DEMS360)
EDRMS - Livelink Client/server version (Web Dav),DocMan,GCC Document Management,CORP EDRMS
Ektron,Social Care,GCC Social Care,GCC Citizen Centric
Elected Members Caseload Management (aka GEMS),DocMan,GCC Document Management,CORP EDRMS
Election System v10.2.0.13,Finance,GCC Fin & Citizen,GCC Citizen Centric
Electoral Registration System v15.1.028,Finance,GCC Fin & Citizen,GCC Citizen Centric
ElReg (With BDE),Finance,GCC Fin & Citizen,GCC Citizen Centric
EMIT System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
EMIT v2.2,GenApps,GCC General Apps,GCC Line of Business
EncExtract,GenApps,GCC General Apps,GCC Line of Business
Encore @ GCU,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
EndNote X5,Desktop,GCC Desktop Model Office,DLM Scotland
Energy ICT,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Energy Management System,Desktop,GCC Desktop Model Office,DLM Scotland
Enterprise Vault v10,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Epilog v3.0,GenApps,GCC General Apps,GCC Line of Business
EPOS,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
EquipU,Desktop,GCC Desktop Model Office,DLM Scotland
Equitrac Office Suite v4.2.0,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
eRouter,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
eShot,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
eSignerScotcash,Desktop,GCC Desktop Model Office,DLM Scotland
ESX v3.5i,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
ETF Mobile App,iWeb,GCC iWeb,GCC Digital Dev Team
Ewgeco Data Uploader - Desktop,Desktop,GCC Desktop Model Office,DLM Scotland
Exceed,SAP,GCC SAP,CORP SAP
Exchange v2007,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
Experian Payments Data manager,Desktop,GCC Desktop Model Office,DLM Scotland
Extranet (glextranet.glasgowlife.org.uk),Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Eyecon,Parking,GCC Parking,GCC Line of Business
EzyTreev,GenApps,GCC General Apps,GCC Line of Business
Fastrak v10.0 A,GenApps,GCC General Apps,GCC Line of Business
FastStone Image Viewer,Desktop,GCC Desktop Model Office,DLM Scotland
FastStone Photo Resizer,Desktop,GCC Desktop Model Office,DLM Scotland
Feature Manipulation Engine (FME),GenApps,GCC General Apps,GCC Line of Business
Figtree,Finance,GCC Fin & Citizen,GCC Citizen Centric
Figweb,Finance,GCC Fin & Citizen,GCC Citizen Centric
FileMaker Pro,Desktop,GCC Desktop Model Office,DLM Scotland
FileZilla,Desktop,GCC Desktop Model Office,DLM Scotland
Finance Code Lookup,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
FitzPeaks v32,GenApps,GCC General Apps,GCC Line of Business
Flash Player v12,Desktop,GCC Desktop Model Office,DLM Scotland
FlipShare,Desktop,GCC Desktop Model Office,DLM Scotland
Floodvue,GenApps,GCC General Apps,GCC Line of Business
FMEasy v11.2,iWeb,GCC iWeb,GCC Digital Dev Team
FMS,Finance,GCC Fin & Citizen,GCC Citizen Centric
Folio Views,Desktop,GCC Desktop Model Office,DLM Scotland
FSSnet v9.2,GenApps,GCC General Apps,GCC Line of Business
Fulezone Data Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Gatehouse,GenApps,GCC General Apps,GCC Line of Business
GBDC Formatter,SAP,GCC SAP,CORP SAP
GBG Bank Code Validation,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
GBG QAS for MRM,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
GC Solution,Desktop,GCC Desktop Model Office,DLM Scotland
GCMS,Desktop,GCC Desktop Model Office,DLM Scotland
Gemalto eSigner (Barclays),Desktop,GCC Desktop Model Office,DLM Scotland
Gemalto eSigner (BoS) 4.1.9,Desktop,GCC Desktop Model Office,DLM Scotland
Gemalto eSigner (RBS) 4.1.9,Desktop,GCC Desktop Model Office,DLM Scotland
GemPlus,GenApps,GCC General Apps,GCC Line of Business
GIFT v8,Finance,GCC Fin & Citizen,GCC Citizen Centric
GIS Council Land Ownership (LOIS),GenApps,GCC General Apps,GCC Line of Business
GIS Geotechnical Database,GenApps,GCC General Apps,GCC Line of Business
GIS Watercourse Management,GenApps,GCC General Apps,GCC Line of Business
Gladstone Management Console,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
"GLAMIS - Licensing shortcuts (Taxi, liqour, Civic)",GenApps,GCC General Apps,GCC Line of Business
Glasgow Flowers,GenApps,GCC General Apps,GCC Line of Business
Glasgow Life Comments / Compliments,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Glasgow Life Web Platform - StormID ,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Glasgow Online,Education,GCC Level 2 Analysts,GCC Level 2 Analysts
Glasgow Online Sandbox,Education,GCC Level 2 Analysts,GCC Level 2 Analysts
GMS Exchange v8.2,GenApps,GCC General Apps,GCC Line of Business
Go Global (MEMEX),GenApps,GCC General Apps,GCC Line of Business
Google Chrome,Desktop,GCC Desktop Model Office,DLM Scotland
Google Earth Pro,Desktop,GCC Desktop Model Office,DLM Scotland
Google Earth Sketch Up,Desktop,GCC Desktop Model Office,DLM Scotland
GOSS iCM,iWeb,GCC iWeb,GCC Digital Dev Team
Grantfinder,GenApps,GCC General Apps,GCC Line of Business
Grants Administration,iWeb,GCC iWeb,GCC Digital Dev Team
GRC Access Control v5.3,SAP,GCC SAP,CORP SAP
Hand Arm Vibration System (HAVS),GenApps,GCC General Apps,GCC Line of Business
Hanwell EMS,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Health & Safety Incident Reporting System,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Health and Safety System,SAP,GCC SAP,CORP SAP
Help at Home,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Hevacomp,GenApps,GCC General Apps,GCC Line of Business
HoleBASE,GenApps,GCC General Apps,GCC Line of Business
Homecare,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Homecare Service History,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Homecarer Updater,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Homeloans,Finance,GCC Fin & Citizen,GCC Citizen Centric
Hours Worked vs Care Given Cube,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
House Cleaning,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
HR Establishment List,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Hugh Symons CD View,Desktop,GCC Desktop Model Office,DLM Scotland
Human Resources DW Load,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
Iceberg,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
IcePAC,Desktop,GCC Desktop Model Office,DLM Scotland
ID Pro v7,Desktop,GCC Desktop Model Office,DLM Scotland
Idox CICO,GenApps,GCC General Apps,GCC Line of Business
Idox Electronic Document Management System v4,GenApps,GCC General Apps,GCC Line of Business
Idox Enterprise For Uniform,GenApps,GCC General Apps,GCC Line of Business
Idox Enterprise Integration Extensions,GenApps,GCC General Apps,GCC Line of Business
Idox Jasper Kit Runtime,GenApps,GCC General Apps,GCC Line of Business
Idox mobile app for Building Standards,GenApps,GCC General Apps,GCC Line of Business
Idox Public Access v1.5,GenApps,GCC General Apps,GCC Line of Business
IDOX REDACT,GenApps,GCC General Apps,GCC Line of Business
IdoxScan,GenApps,GCC General Apps,GCC Line of Business
IES - VE MFC,Desktop,GCC Desktop Model Office,DLM Scotland
IIS Express,Desktop,GCC Desktop Model Office,DLM Scotland
Impact (aka iPayImpact),Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
INCA,Cordia,GCC Cordia Infrastructure,GCC Digital Dev Team
InfoView vXI Release 2,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Infraworks 360,Desktop,GCC Desktop Model Office,DLM Scotland
Insight v2.3,GenApps,GCC General Apps,GCC Line of Business
Integrated Environmental Solution,GenApps,GCC General Apps,GCC Line of Business
Interact Manager,GenApps,GCC General Apps,GCC Line of Business
Interface To GHA v2.6,Social Care,GCC Social Care,GCC Citizen Centric
Interface To SAP v17,Social Care,GCC Social Care,GCC Citizen Centric
Irfanview v4.30,Desktop,GCC Desktop Model Office,DLM Scotland
IRIS Laserforms,Desktop,GCC Desktop Model Office,DLM Scotland
iTeva,Desktop,GCC Desktop Model Office,DLM Scotland
iWorld v6.5.1,Social Care,GCC Social Care,GCC Citizen Centric
JAWS,Desktop,GCC Desktop Model Office,DLM Scotland
Job Management System - Fast Cad,GenApps,GCC General Apps,GCC Line of Business
Join @ Home,Glasgow Life,GCC Glasgow Life Apps,GCC Line of Business
Joule X Energy Saving Software,Infrastructure,GCC Infrastructure Triage,GCC Infrastructure Triage
